,user_id,role,registration_date,last_active_date,2021,2022,2023,2024
254,439,full,2022-03-11,2024-01-12,0,385,223,2
255,440,full,2021-12-21,2022-10-12,18,46,0,0
256,441,full,2021-12-06,2023-02-16,1,3,1,0
257,442,full,2022-08-24,2023-11-24,0,0,1,0
258,443,full,2021-12-06,2023-12-26,2,99,102,0
259,444,full,2023-09-18,2023-09-18,0,0,0,0
260,445,full,2021-12-06,2023-01-31,7,1,1,0
261,446,full,2021-12-06,2023-12-26,9,186,41,0
262,447,full,2023-07-11,2023-12-26,0,0,5,0
263,448,full,2021-12-06,2023-12-04,41,211,85,0
264,449,full,2021-12-06,2023-12-28,0,11,7,0
265,450,full,2023-11-29,2023-12-03,0,0,1,0
266,451,full,2021-12-07,2022-06-17,1,4,0,0
267,452,full,2022-03-18,2023-03-15,0,1,0,0
268,455,full,2021-12-06,2023-09-14,1,0,1,0
269,456,full,2021-12-06,2021-12-06,1,0,0,0
270,458,full,2023-04-09,2023-04-09,0,0,0,0
271,462,full,2021-12-06,2023-10-19,0,1,1,0
272,463,full,2021-12-06,2023-04-01,1,1,1,0
273,465,full,2021-12-06,2023-04-01,6,26,3,0
274,468,full,2021-12-06,2023-04-01,49,247,63,0
275,469,full,2021-12-06,2023-08-29,1,111,67,0
276,470,full,2021-12-06,2023-12-30,0,191,68,0
277,471,full,2021-12-06,2021-12-06,1,0,0,0
278,472,full,2021-12-06,2023-12-27,0,65,115,0
279,473,full,2021-12-06,2022-10-11,0,5,0,0
280,475,full,2021-12-14,2023-04-01,0,4,1,0
281,476,full,2021-12-06,2023-10-10,0,0,8,0
282,477,full,2021-12-06,2023-05-04,7,150,15,0
283,478,full,2021-12-06,2022-12-30,1,2,0,0
284,479,full,2021-12-06,2022-10-17,1,2,0,0
285,480,full,2021-12-06,2023-07-27,1,223,76,0
286,481,full,2021-12-06,2022-07-29,1,9,0,0
287,482,full,2022-05-23,2022-12-14,0,4,0,0
288,483,full,2021-12-06,2022-09-29,0,2,0,0
289,484,full,2021-12-06,2023-08-18,0,247,114,0
290,485,full,2022-08-25,2023-04-01,0,4,1,0
291,486,full,2021-12-06,2023-11-27,2,3,10,0
292,487,full,2022-03-16,2023-04-01,0,1,1,0
293,488,full,2021-12-06,2021-12-06,1,0,0,0
294,490,full,2021-12-06,2022-07-19,0,1,0,0
295,491,full,2022-05-16,2023-07-20,0,0,0,0
