,user_id,role,registration_date,last_activity_date,y2021,y2022,y2023,y2024
235,64170,full,2023-08-30,2023-11-30,0,0,0,0
236,136302,full,2023-05-27,2023-12-11,0,0,1,0
237,131113,full,2023-07-13,2023-12-12,0,0,8,0
238,214511,full,2023-11-30,2023-11-30,0,0,0,0
239,216226,full,2023-11-30,2023-12-14,0,0,4,0
240,216365,full,2023-11-30,2023-11-30,0,0,0,0
241,215920,full,2023-11-30,2023-11-30,0,0,1,0
242,85281,full,2023-04-01,2023-12-05,0,0,8,0
243,18999,full,2022-10-21,2023-11-30,0,42,77,0
244,216423,full,2023-11-30,2023-11-30,0,0,1,0
245,13671,full,2022-03-01,2023-12-04,0,363,132,0
246,190157,full,2023-10-23,2023-12-14,0,0,1,0
247,23948,full,2022-04-24,2023-12-05,0,294,127,0
248,149076,full,2023-08-17,2023-12-30,0,0,19,0
249,28877,full,2022-05-24,2023-12-14,0,3,2,0
250,216100,full,2023-12-01,2023-12-14,0,0,1,0
251,191403,full,2023-10-28,2023-12-06,0,0,1,0
252,189950,full,2023-12-01,2023-12-08,0,0,1,0
253,216681,full,2023-12-01,2023-12-01,0,0,1,0
254,216685,full,2023-12-01,2023-12-07,0,0,1,0
255,216696,full,2023-12-02,2023-12-18,0,0,1,0
256,39143,full,2022-10-02,2023-12-03,0,2,6,0
257,204989,full,2023-11-23,2023-12-27,0,0,1,0
258,187630,full,2023-11-05,2023-12-02,0,0,0,0
259,13122,full,2022-07-18,2023-12-15,0,3,1,0
260,165094,full,2023-08-30,2023-12-04,0,0,2,0
261,216856,full,2023-12-02,2023-12-02,0,0,0,0
262,216865,full,2023-12-02,2023-12-04,0,0,2,0
263,216878,full,2023-12-02,2023-12-02,0,0,0,0
264,6779,full,2021-12-23,2023-12-15,35,115,2,0
265,216744,full,2023-12-02,2023-12-04,0,0,1,0
266,10984,full,2022-12-18,2023-12-04,0,1,7,0
267,193925,full,2023-11-18,2023-12-22,0,0,3,0
268,216944,full,2023-12-02,2023-12-03,0,0,1,0
269,105200,full,2023-01-17,2023-12-02,0,0,12,0
270,92715,full,2023-12-02,2023-12-02,0,0,1,0
271,58785,full,2023-12-02,2023-12-04,0,0,1,0
272,4887,full,2022-03-16,2023-12-26,0,23,19,0
273,184862,full,2023-09-20,2023-12-09,0,0,3,0
274,217098,full,2023-12-03,2023-12-11,0,0,1,0
275,67390,full,2022-09-23,2023-12-16,0,0,1,0
276,217157,full,2023-12-03,2023-12-04,0,0,3,0
277,36805,full,2023-07-13,2023-12-03,0,0,1,0
278,217189,full,2023-12-03,2023-12-03,0,0,1,0
279,217226,full,2023-12-04,2023-12-04,0,0,1,0
280,184893,full,2023-11-22,2023-12-29,0,0,3,0
281,2923,full,2021-12-27,2023-12-08,13,403,184,0
282,217247,full,2023-12-04,2023-12-04,0,0,1,0
283,207361,full,2023-12-04,2023-12-17,0,0,4,0
284,5512,full,2022-03-07,2024-01-12,0,2,14,1
285,217314,full,2023-12-04,2023-12-04,0,0,1,0
286,91994,full,2022-12-26,2023-12-15,0,2,21,0
287,123649,full,2023-03-16,2023-12-05,0,0,18,0
288,217414,full,2023-12-04,2023-12-04,0,0,0,0
289,9846,full,2022-02-01,2023-12-04,0,281,124,0
290,105720,full,2023-01-24,2024-01-12,0,0,26,1
291,217426,full,2023-12-05,2023-12-05,0,0,1,0
292,97445,full,2023-08-11,2024-01-12,0,0,56,1
293,148160,full,2023-11-21,2023-12-30,0,0,3,0
294,41542,full,2023-02-16,2024-01-12,0,0,23,3
295,201632,full,2023-12-05,2023-12-09,0,0,1,0
296,217564,full,2023-12-05,2023-12-05,0,0,1,0
297,38674,full,2023-12-05,2023-12-09,0,0,1,0
298,15109,full,2022-03-16,2024-01-08,0,7,3,1
299,26907,full,2023-12-05,2023-12-05,0,0,0,0
300,184786,full,2023-09-19,2023-12-30,0,0,9,0
301,217696,full,2023-12-05,2023-12-05,0,0,1,0
302,774,full,2021-12-06,2023-12-11,2,267,151,0
303,178379,full,2023-09-09,2023-12-20,0,0,4,0
304,68400,full,2022-09-25,2023-12-19,0,0,3,0
305,63497,full,2022-09-11,2023-12-06,0,14,39,0
306,173720,full,2023-09-06,2023-12-10,0,0,6,0
307,214575,full,2023-11-27,2023-12-06,0,0,0,0
308,217867,full,2023-12-06,2023-12-06,0,0,1,0
309,127771,full,2023-03-30,2023-12-22,0,0,8,0
310,217895,full,2023-12-06,2023-12-06,0,0,1,0
311,131700,full,2023-04-18,2023-12-25,0,0,2,0
312,1087,full,2021-12-06,2023-12-31,48,158,99,0
313,33232,full,2022-06-28,2023-12-07,0,0,1,0
314,38692,full,2022-07-22,2023-12-25,0,0,4,0
315,10844,full,2022-02-05,2024-01-12,0,365,157,1
316,3375,full,2021-12-17,2024-01-06,0,18,46,1
317,217167,full,2023-12-03,2023-12-06,0,0,0,0
318,218005,full,2023-12-06,2024-01-01,0,0,4,1
319,218023,full,2023-12-07,2023-12-07,0,0,1,0
320,198127,full,2023-11-09,2023-12-22,0,0,4,0
